somay,distance,may0,may1,may2,may3,reward
2,0.2886688012785054,0.0,0.0,0.5484325884781037,0.0,1
2,0.2886688012785054,0.0,0.0,0.9659325884781037,0.0,1
0,0,0.167,0.0,0.9659325884781037,0.0,1
0,0,0.33433333333333337,0.0,0.9659325884781037,0.0,1
2,0.2886688012785054,0.0,0.0,0.5511961203217266,0.0,1
2,0.2886688012785054,0.0,0.0,0.9711961203217265,0.0,1
2,0.2886688012785054,0.0,0.0,0.5525565173423056,0.0,1
2,0.2886688012785054,0.0,0.0,0.9750565173423056,0.0,1
2,0.2886688012785054,0.0,0.0,0.5572502476962181,0.0,1
2,0.2886688012785054,0.0,0.0,0.5590486802846961,0.0,1
2,0.2886688012785054,0.0,0.0,0.9848820136180294,0.0,1
0,0,0.171,0.0,0.9848820136180294,0.0,1
0,0,0.342,0.0,0.9848820136180294,0.0,1
2,0.2886688012785054,0.0,0.0,0.5629090773052752,0.0,1
1,0.4278350013069239,0.0,0.7254505305652459,0.5629090773052752,0.0,1
0,0,0.17233333333333334,0.7254505305652459,0.5629090773052752,0.0,1
1,0.4255877120859568,0.0,0.725931545154779,0.0,0.0,1
0,0,0.17366666666666666,0.725931545154779,0.0,0.0,1
0,0,0.348,0.725931545154779,0.0,0.0,1
0,0,0.5223333333333333,0.725931545154779,0.0,0.0,1
0,0,0.6973333333333334,0.725931545154779,0.0,0.0,1
1,0.4233404228649896,0.0,0.7326435040330277,0.0,0.0,1
0,0,0.17533333333333334,0.7326435040330277,0.0,0.0,1
0,0,0.3506666666666667,0.7326435040330277,0.0,0.0,1
1,0.42109313364402245,0.0,0.7339546922512666,0.0,0.0,1
0,0,0.17566666666666667,0.7339546922512666,0.0,0.0,1
1,0.4188458444230553,0.0,0.7344491574051389,0.0,0.0,1
0,0,0.177,0.7344491574051389,0.0,0.0,1
0,0,0.3546666666666667,0.7344491574051389,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.583745963153026,0.0,1
2,0.2886688012785054,0.0,0.0,1.031245963153026,0.0,1
0,0,0.179,0.0,1.031245963153026,0.0,1
0,0,0.3586666666666667,0.0,1.031245963153026,0.0,1
2,0.2886688012785054,0.0,0.0,0.5882651897826621,0.0,1
2,0.2886688012785054,0.0,0.0,1.0424318564493287,0.0,1
2,0.2886688012785054,0.0,0.0,0.593090686058386,0.0,1
2,0.2886688012785054,0.0,0.0,1.048090686058386,0.0,1
0,0,0.18233333333333332,0.0,1.048090686058386,0.0,1
0,0,0.367,0.0,1.048090686058386,0.0,1
1,0.4098566875391867,0.0,0.7614059111827511,0.04809068605838607,0.0,1
0,0,0.18566666666666667,0.7614059111827511,0.04809068605838607,0.0,1
1,0.4076093983182196,0.0,0.7631158271095495,0.0,0.0,1
0,0,0.187,0.7631158271095495,0.0,0.0,1
0,0,0.374,0.7631158271095495,0.0,0.0,1
0,0,0.18733333333333332,0.0,0.0,0.0,1
0,0,0.18766666666666668,0.0,0.0,0.0,1
0,0,0.3756666666666667,0.0,0.0,0.0,1
0,0,0.5640000000000001,0.0,0.0,0.0,1
0,0,0.7523333333333334,0.0,0.0,0.0,1
0,0,0.9406666666666668,0.0,0.0,0.0,1
0,0,0.18833333333333332,0.0,0.0,0.0,1
0,0,0.3773333333333333,0.0,0.0,0.0,1
2,0.2886688012785054,0.0,0.0,0.6141911037497595,0.0,1
2,0.2886688012785054,0.0,0.0,1.0883577704164262,0.0,1
0,0,0.19033333333333333,0.0,1.0883577704164262,0.0,1
0,0,0.38066666666666665,0.0,1.0883577704164262,0.0,1
2,0.2886688012785054,0.0,0.0,0.6173499333588167,0.0,1
2,0.2886688012785054,0.0,0.0,1.0948499333588166,0.0,1
2,0.2886688012785054,0.0,0.0,0.6230087629678739,0.0,1
2,0.2886688012785054,0.0,0.0,1.1046754296345407,0.0,1
2,0.2886688012785054,0.0,0.0,0.6249389614781634,0.0,1
2,0.2886688012785054,0.0,0.0,1.1091056281448302,0.0,1
0,0,0.19366666666666665,0.0,1.1091056281448302,0.0,1
0,0,0.3873333333333333,0.0,1.1091056281448302,0.0,1
0,0,0.5813333333333333,0.0,1.1091056281448302,0.0,1
